Time (ms),Name,Value
0,"IMU_Pitch","-3.44354248046875"
1,"IMU_Roll","-1.6417388916015625"
1,"Channel 2 Current","0.0"
1,"Channel 6 Current","0.0"
1,"Left B Power","-0.006909708317834884"
1,"Arm Current","0.0"
1,"Intake Power","-2.4926686217008798"
1,"Distance 0","0.0"
1,"x1","-0.03421173704198949"
1,"x2","0.2978657493217721"
1,"y1","-0.81"
1,"Left B Encoder","-549.0014038085938"
1,"y2","-1.67"
1,"IMU_Connected","true"
1,"z1","-2.439127996010017"
1,"z2","-3.2241928363603725"
1,"Channel 3 Current","0.0"
1,"Channel 7 Current","0.0"
1,"Coordinate Heading","-120.37561060260533"
1,"Move to arm angle: ","60.0"
1,"Right A Power","0.004163126286584884"
1,"Vive Auto","1.0"
1,"x_rot1","1.21"
1,"x_rot2","-1.85"
1,"Drivespeed","0.17578125"
1,"Lift Encoder","0.0"
1,"Coordinate delta X","-0.18725090038983094"
1,"Coordinate delta Z","-0.31947293310800084"
1,"Arm Lower Limit Switch","false"
1,"Arm Upper Limit Switch","true"
1,"Lift A Speed","-0.05976095617529881"
1,"Channel 0 Current","0.0"
1,"Channel 4 Current","0.0"
1,"Channel 8 Current","0.0"
1,"Got Cargo","false"
1,"y_rot1","62.37"
1,"y_rot2","-28.28"
1,"Right B Power","0.004163126286584884"
1,"count","1.0"
1,"Right A Encoder","1593.9844970703125"
1,"IMU_IsCalibrating","false"
1,"z_rot1","91.5"
1,"z_rot2","0.59"
1,"Lift B Speed","-0.05976095617529881"
1,"Channel 1 Current","0.0"
1,"Channel 5 Current","0.0"
1,"Channel 9 Current","0.0"
1,"IMU_Yaw","94.11737060546875"
1,"Coordinate Destination X","0.136"
1,"Coordinate Destination Z","0.136"
1,"Right B Encoder","1594.984375"
1,"Coordinate Origin X","0.32325090038983095"
1,"Coordinate Origin Z","-2.507527066891999"
1,"fps","270.0"
1,"Arm Speed","0.02"
1,"Move to arm height: ","-0.9"
1,"Cargo detected","true"
1,"Left A Power","-0.006909708317834884"
1,"Vive Auto result","false"
1,"X","-0.0078125"
1,"Y","0.031496062874794006"
1,"Left A Encoder","-549.0014038085938"
101,"x_rot1","1.2"
101,"x_rot1","1.2"
101,"x_rot1","1.2"
101,"x_rot1","1.2"
101,"z_rot1","91.5"
101,"z_rot1","91.5"
101,"z_rot1","91.5"
101,"z_rot1","91.5"
101,"x2","0.2978657493217721"
101,"x2","0.2978657493217721"
101,"x2","0.2978657493217721"
101,"x2","0.2978657493217721"
101,"z2","-3.2241928363603725"
101,"z2","-3.2241928363603725"
101,"z2","-3.2241928363603725"
101,"z2","-3.2241928363603725"
101,"x_rot2","-1.87"
101,"x_rot2","-1.87"
101,"x_rot2","-1.87"
101,"x_rot2","-1.87"
101,"y_rot2","-28.28"
101,"y_rot2","-28.28"
101,"y_rot2","-28.28"
101,"y_rot2","-28.28"
101,"z_rot2","0.57"
101,"z_rot2","0.57"
101,"z_rot2","0.57"
101,"z_rot2","0.57"
101,"fps","263.0"
101,"fps","263.0"
101,"fps","263.0"
101,"fps","263.0"
101,"x1","-0.024236023506173654"
101,"x1","-0.024236023506173654"
101,"x1","-0.024236023506173654"
101,"x1","-0.024236023506173654"
101,"z1","-2.439174382693759"
101,"z1","-2.439174382693759"
101,"z1","-2.439174382693759"
101,"z1","-2.439174382693759"
101,"y_rot1","62.36"
101,"y_rot1","62.36"
101,"y_rot1","62.36"
101,"y_rot1","62.36"
198,"fps","277.0"
198,"fps","277.0"
198,"fps","277.0"
198,"fps","277.0"
198,"x1","-0.024236023506173654"
198,"x1","-0.024236023506173654"
198,"x1","-0.024236023506173654"
198,"x1","-0.024236023506173654"
198,"x2","0.29795797867630636"
198,"x2","0.29795797867630636"
198,"x2","0.29795797867630636"
198,"x2","0.29795797867630636"
198,"z2","-3.224242434476901"
198,"z2","-3.224242434476901"
198,"z2","-3.224242434476901"
198,"z2","-3.224242434476901"
198,"y_rot2","-28.26"
198,"y_rot2","-28.26"
198,"y_rot2","-28.26"
198,"y_rot2","-28.26"
198,"z1","-2.439174382693759"
198,"z1","-2.439174382693759"
198,"z1","-2.439174382693759"
198,"z1","-2.439174382693759"
198,"x_rot1","1.22"
198,"x_rot1","1.22"
198,"x_rot1","1.22"
198,"x_rot1","1.22"
198,"y_rot1","62.36"
198,"y_rot1","62.36"
198,"y_rot1","62.36"
198,"y_rot1","62.36"
198,"z_rot1","91.48"
198,"z_rot1","91.48"
198,"z_rot1","91.48"
198,"z_rot1","91.48"
198,"x_rot2","-1.85"
198,"x_rot2","-1.85"
198,"x_rot2","-1.85"
198,"x_rot2","-1.85"
198,"z_rot2","0.58"
198,"z_rot2","0.58"
198,"z_rot2","0.58"
198,"z_rot2","0.58"
298,"x2","0.29791186183491314"
298,"x2","0.29791186183491314"
298,"x2","0.29791186183491314"
298,"x2","0.29791186183491314"
298,"z2","-3.2242176394429016"
298,"z2","-3.2242176394429016"
298,"z2","-3.2242176394429016"
298,"z2","-3.2242176394429016"
298,"x_rot2","-1.85"
298,"x_rot2","-1.85"
298,"x_rot2","-1.85"
298,"x_rot2","-1.85"
298,"y_rot2","-28.27"
298,"y_rot2","-28.27"
298,"y_rot2","-28.27"
298,"y_rot2","-28.27"
298,"z_rot2","0.57"
298,"z_rot2","0.57"
298,"z_rot2","0.57"
298,"z_rot2","0.57"
298,"x_rot1","1.23"
298,"x_rot1","1.23"
298,"x_rot1","1.23"
298,"x_rot1","1.23"
298,"z_rot1","91.48"
298,"z_rot1","91.48"
298,"z_rot1","91.48"
298,"z_rot1","91.48"
298,"fps","256.0"
298,"fps","256.0"
298,"fps","256.0"
298,"fps","256.0"
298,"x1","-0.03426031806599156"
299,"x1","-0.03426031806599156"
299,"x1","-0.03426031806599156"
299,"x1","-0.03426031806599156"
299,"z1","-2.4392207651380065"
299,"z1","-2.4392207651380065"
299,"z1","-2.4392207651380065"
299,"z1","-2.4392207651380065"
299,"y_rot1","62.35"
299,"y_rot1","62.35"
299,"y_rot1","62.35"
299,"y_rot1","62.35"
401,"x1","-0.03423602350617366"
401,"x1","-0.03423602350617366"
401,"x1","-0.03423602350617366"
401,"x1","-0.03423602350617366"
401,"z1","-2.439174382693759"
401,"z1","-2.439174382693759"
401,"z1","-2.439174382693759"
401,"z1","-2.439174382693759"
401,"y_rot1","62.36"
401,"y_rot1","62.36"
401,"y_rot1","62.36"
401,"y_rot1","62.36"
401,"x2","0.29791186183491314"
401,"x2","0.29791186183491314"
401,"x2","0.29791186183491314"
401,"x2","0.29791186183491314"
401,"z2","-3.2242176394429016"
401,"z2","-3.2242176394429016"
401,"z2","-3.2242176394429016"
