Time (ms),Name,Value
0,"IMU_Pitch","-2.882110595703125"
1,"IMU_Roll","-1.6953125"
1,"Channel 2 Current","0.0"
1,"Channel 6 Current","0.0"
1,"Left B Power","-0.001312255859375"
1,"Arm Current","0.09375"
1,"Intake Power","-2.4826979472140764"
1,"Distance 0","0.0"
1,"x1","0.4579633944400917"
1,"x2","0.2254469355055489"
1,"y1","-0.79"
1,"Left B Encoder","2142.001953125"
1,"y2","-0.97"
1,"IMU_Connected","true"
1,"z1","-3.4348972144123042"
1,"z2","-3.848753700292257"
1,"Channel 3 Current","0.0"
1,"Channel 7 Current","0.0"
1,"Coordinate Heading","-120.37561060260533"
1,"Move to arm angle: ","60.0"
1,"Right A Power","-0.001312255859375"
1,"Vive Auto","1.0"
1,"x_rot1","2.26"
1,"x_rot2","88.67"
1,"Drivespeed","0.16796875"
1,"Lift Encoder","0.0"
1,"Coordinate delta X","-0.18725090038983094"
1,"Coordinate delta Z","-0.31947293310800084"
1,"Arm Lower Limit Switch","true"
1,"Arm Upper Limit Switch","false"
1,"Lift A Speed","-0.05976095617529881"
1,"Channel 0 Current","0.0"
1,"Channel 4 Current","0.0"
1,"Channel 8 Current","0.0"
1,"Got Cargo","false"
1,"y_rot1","83.32"
1,"y_rot2","-58.05"
1,"Right B Power","-0.001312255859375"
1,"count","1.0"
1,"Right A Encoder","-854.9965209960938"
1,"IMU_IsCalibrating","false"
1,"z_rot1","90.86"
1,"z_rot2","7.32"
1,"Lift B Speed","-0.05976095617529881"
1,"Channel 1 Current","0.0"
1,"Channel 5 Current","0.0"
1,"Channel 9 Current","0.0"
1,"IMU_Yaw","108.79838562011719"
1,"Coordinate Destination X","0.136"
1,"Coordinate Destination Z","0.136"
1,"Right B Encoder","-854.9965209960938"
1,"Coordinate Origin X","0.32325090038983095"
1,"Coordinate Origin Z","-2.507527066891999"
1,"fps","222.0"
1,"Arm Speed","0.0"
1,"Move to arm height: ","-0.9"
1,"Cargo detected","true"
1,"Left A Power","-0.001312255859375"
1,"Vive Auto result","false"
1,"X","-0.0078125"
1,"Y","0.0"
1,"Left A Encoder","2142.001953125"
57,"x_rot1","2.15"
57,"x_rot1","2.15"
57,"x_rot1","2.15"
57,"z_rot1","90.97"
57,"z_rot1","90.97"
57,"z_rot1","90.97"
57,"x2","0.22569661917447503"
57,"x2","0.22569661917447503"
57,"x2","0.22569661917447503"
57,"z2","-3.84915335529202"
57,"z2","-3.84915335529202"
57,"z2","-3.84915335529202"
57,"y_rot2","-57.96"
57,"y_rot2","-57.96"
57,"y_rot2","-57.96"
57,"x_rot2","88.67"
57,"x_rot2","88.67"
57,"x_rot2","88.67"
57,"z_rot2","7.31"
57,"z_rot2","7.31"
57,"z_rot2","7.31"
57,"x1","0.4579694806147314"
57,"x1","0.4579694806147314"
57,"x1","0.4579694806147314"
57,"z1","-3.434845209458219"
57,"z1","-3.434845209458219"
57,"z1","-3.434845209458219"
57,"y_rot1","83.33"
57,"y_rot1","83.33"
57,"y_rot1","83.33"
57,"fps","243.0"
57,"fps","243.0"
57,"fps","243.0"
156,"x2","0.22583560349166248"
156,"x2","0.22583560349166248"
156,"x2","0.22583560349166248"
156,"z2","-3.849375216227469"
156,"z2","-3.849375216227469"
156,"z2","-3.849375216227469"
156,"y_rot2","-57.91"
156,"y_rot2","-57.91"
156,"y_rot2","-57.91"
156,"x_rot1","2.1"
156,"x_rot1","2.1"
156,"x_rot1","2.1"
156,"z_rot1","91.02"
156,"z_rot1","91.02"
156,"z_rot1","91.02"
156,"x_rot2","88.66"
156,"x_rot2","88.66"
156,"x_rot2","88.66"
156,"z_rot2","7.31"
156,"z_rot2","7.31"
156,"z_rot2","7.31"
156,"fps","277.0"
156,"fps","277.0"
156,"fps","277.0"
156,"x1","0.4579694806147314"
156,"x1","0.4579694806147314"
156,"x1","0.4579694806147314"
156,"z1","-3.434845209458219"
156,"z1","-3.434845209458219"
156,"z1","-3.434845209458219"
156,"y_rot1","83.33"
156,"y_rot1","83.33"
156,"y_rot1","83.33"
256,"z_rot1","91.07"
256,"z_rot1","91.07"
256,"z_rot1","91.07"
256,"x2","0.226058380954145"
256,"x2","0.226058380954145"
256,"x2","0.226058380954145"
