dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.501709,2.707074,0.000007,0.000667,0.033333,1.666667,0.002631
0.020000,4.501709,2.707074,0.000033,0.002000,0.066667,1.666667,0.002556
0.020000,4.501709,2.707074,0.000093,0.004000,0.100000,1.666667,0.002390
0.020000,4.501709,2.707074,0.000193,0.006000,0.100000,0.000000,0.002112
0.020000,4.501709,2.707074,0.000333,0.008000,0.100000,0.000000,0.001722
0.020000,4.501709,2.707074,0.000513,0.010000,0.100000,0.000000,0.001222
0.020000,4.501709,2.707074,0.000733,0.012000,0.100000,0.000000,0.000610
0.020000,4.501750,2.707074,0.000993,0.014000,0.100000,0.000000,6.283072
0.020000,4.502050,2.707074,0.001293,0.016000,0.100000,0.000000,6.282237
0.020000,4.502390,2.707074,0.001633,0.018000,0.100000,-0.000000,6.281290
0.020000,4.502770,2.707073,0.002013,0.020000,0.100000,0.000000,6.280231
0.020000,4.503190,2.707071,0.002433,0.022000,0.100000,-0.000000,6.279059
0.020000,4.503650,2.707069,0.002893,0.024000,0.100000,0.000000,6.277775
0.020000,4.504150,2.707066,0.003393,0.026000,0.100000,-0.000000,6.276378
0.020000,4.504690,2.707062,0.003933,0.028000,0.100000,0.000000,6.274867
0.020000,4.505270,2.707057,0.004513,0.030000,0.100000,-0.000000,6.273242
0.020000,4.505890,2.707050,0.005133,0.032000,0.100000,0.000000,6.271503
0.020000,4.506550,2.707042,0.005793,0.034000,0.100000,-0.000000,6.269650
0.020000,4.507250,2.707032,0.006493,0.036000,0.100000,-0.000000,6.267682
0.020000,4.507990,2.707019,0.007233,0.038000,0.100000,0.000000,6.265597
0.020000,4.508770,2.707005,0.008013,0.040000,0.100000,0.000000,6.263397
0.020000,4.509589,2.706988,0.008833,0.042000,0.100000,-0.000000,6.261081
0.020000,4.510449,2.706967,0.009693,0.044000,0.100000,0.000000,6.258648
0.020000,4.511349,2.706944,0.010593,0.046000,0.100000,0.000000,6.256097
0.020000,4.512289,2.706918,0.011533,0.048000,0.100000,-0.000000,6.253428
0.020000,4.513268,2.706887,0.012513,0.050000,0.100000,0.000000,6.250641
0.020000,4.514287,2.706852,0.013533,0.052000,0.100000,0.000000,6.247735
0.020000,4.515347,2.706813,0.014593,0.054000,0.100000,0.000000,6.244709
0.020000,4.516446,2.706769,0.015693,0.056000,0.100000,-0.000000,6.241563
0.020000,4.517585,2.706720,0.016833,0.058000,0.100000,0.000000,6.238296
0.020000,4.518763,2.706665,0.018013,0.060000,0.100000,0.000000,6.234908
0.020000,4.519982,2.706604,0.019233,0.062000,0.100000,0.000000,6.231398
0.020000,4.521240,2.706536,0.020493,0.064000,0.100000,-0.000000,6.227766
0.020000,4.522538,2.706462,0.021793,0.066000,0.100000,0.000000,6.224011
0.020000,4.523876,2.706380,0.023133,0.068000,0.100000,0.000000,6.220132
0.020000,4.525253,2.706290,0.024513,0.070000,0.100000,-0.000000,6.216130
0.020000,4.526669,2.706192,0.025933,0.072000,0.100000,0.000000,6.212003
0.020000,4.528125,2.706085,0.027393,0.074000,0.100000,0.000000,6.207752
0.020000,4.529621,2.705969,0.028893,0.076000,0.100000,0.000000,6.203376
0.020000,4.531156,2.705843,0.030433,0.078000,0.100000,0.000000,6.198873
0.020000,4.532730,2.705706,0.032013,0.080000,0.100000,0.000000,6.194245
0.020000,4.534343,2.705558,0.033633,0.082000,0.100000,-0.000000,6.189491
0.020000,4.535995,2.705399,0.035293,0.084000,0.100000,0.000000,6.184611
0.020000,4.537687,2.705228,0.036993,0.086000,0.100000,0.000000,6.179604
